Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Other Federal Reg. Exemption,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?,hub_delta_v_less_than_1mph,hub_zip_code,hub_location,hub_crash_type,hub_is_police_reported,hub_is_any_injury_reported,data_period,reportable_v2,reportable_v3,filter_has_injury,filter_is_vru,filter_has_airbag,filter_has_tow,filter_is_5day_trigger,filter_is_single_vehicle,filter_waymo_struck_another,filter_deltav_over_1mph,filter_waymo_was_moving,filter_waymo_was_stationary
30270-1,2,Waymo LLC,10-Day Update,,,JUL-2021,2C4RC1K76HR, ,,Chrysler,Pacifica, ,2017.0, ,27a8308e4525a57,34996.0, ,In-Vehicle (Commercial / Test),4th Generation ADS, , ,, , ,, , ,, , ,,, , ,,,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,JUL-2021, ,JUL-2021,15:10, ,c26d492ac568c12,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,,Y,Intersection,Dry,No Unusual Conditions,25.0, ,Daylight, , ,Y, , , , , ,,Van,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , , , , ,Y, , ,Making Left Turn,No,Yes,Yes,,Y, , , , , , ,Y, , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"No update to narrative. Please refer to Waymo LLC Report - 202107[XXX]-0 (rev.202107[XXX]170406) submitted on July [XXX], 2021.", ,,,,,,,prior_june16,True,True,False,False,False,True,True,False,False,False,True,False
30270-10004,1,Waymo LLC,Monthly,1.0,2025.0,FEB-2025,SADHW2S14R1, ,,Jaguar,I-Pace, ,2024.0, ,1529671f5525447,24873.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA PUC, CA DMV",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,JAN-2025,20:51, ,41320a9363bd12f,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25.0, ,Dark - Lighted,Y, , , , , , , ,,Passenger Car,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , , , ,Y, , , ,Parked,No,No,No Passengers in Vehicle,0.0, , ,Y, , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On December [XXX], 2024 at 8:51 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX]t. 
The Waymo AV was parked next to the curb on [XXX] facing eastbound between [XXX]  when the passenger side rear view mirror of a passenger car traveling in the rightmost lane made contact with the driver side rear view mirror of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Waymo became aware that the Waymo AV sustained damage as a result of this collision on January [XXX], 2025.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,False,94102,SAN_FRANCISCO,V2V Lateral,False,False,prior_june16,False,True,False,False,False,False,False,False,False,True,False,True
30270-10006,1,Waymo LLC,5-Day,,,FEB-2025,SADHW2S16M1, ,,Jaguar,I-PACE, ,2021.0, ,9052d837901c491,163331.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),ADOT,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,FEB-2025, ,FEB-2025,19:26, ,b0f8952fe931b48,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Phoenix, ,AZ ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,45.0, ,Dark - Lighted,Y, , , , , , , ,,"Other, see Narrative",No Injuries Reported,Yes,"Other, see Narrative",Not Applicable,Not Applicable, , , , , , , , , , ,Y,Proceeding Straight,No,Yes,Yes,35.0, , , , , , , , , ,Y, , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On February [XXX], 2025 at 7:26 PM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Phoenix, Arizona was in a collision involving debris on [XXX]. 
The Waymo AV was traveling in the rightmost westbound lane on [XXX] when the front passenger side tire of the Waymo AV made contact with a piece of debris that was in the roadway.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away.  Waymo may supplement or correct its reporting with additional information as it may become available.", ,True,85008,PHOENIX,Single Vehicle,False,False,prior_june16,True,True,False,False,False,True,True,False,True,False,True,False
30270-10007,1,Waymo LLC,5-Day,,,FEB-2025,SADHW2S15R1, ,,Jaguar,I-PACE, ,2024.0, ,7f139073e4159f7,17312.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,FEB-2025, ,FEB-2025,01:04, ,198ede2a0f0bc8c,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25.0, ,Dark - Lighted,Y, , , , , , , ,,"Other, see Narrative",No Injuries Reported,Yes,Backing,No,No, , , ,Y, , , , , , , ,Parked,No,Yes,No Passengers in Vehicle,0.0, , , , , , ,Y, , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On February [XXX], 2025 at 1:04 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a motor home on [XXX]. 
The Waymo AV was parked at the curb facing east on [XXX] when a motor home parked in front of the Waymo AV reversed, and the rear of the motor home made contact with the front of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.", ,False,94103,SAN_FRANCISCO,V2V Backing,False,False,prior_june16,True,True,False,False,False,True,True,False,False,True,False,True
30270-10042,2,Waymo LLC,10-Day Update,,,MAR-2025,SADHW2S18R1, ,,Jaguar,I-PACE, ,2024.0, ,e3afde838dca9cf,3599.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),ADOT,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,FEB-2025, ,FEB-2025,08:02, ,a505bba3817c9e2,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Phoenix, ,AZ ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Parking Lot,Dry,No Unusual Conditions,15.0, ,Daylight,Y, , , , , , , ,,"Other, see Narrative",No Injuries Reported,Yes,"Other, see Narrative",Not Applicable,Not Applicable, , , , , , , , , , ,Y,Proceeding Straight,No,No,No Passengers in Vehicle,4.0, , , ,Y, , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"The content of this report is unchanged from the initial report submitted on February [XXX], 2025 [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]. 
On February [XXX], 2025 at 8:02 AM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Phoenix, Arizona was in a collision involving a landscaping string trimmer in a parking lot at [XXX]. 
The Waymo AV stopped for a rider drop-off facing north in a parking lot at [XXX]. As the Waymo AV began to travel north to exit the parking lot, the Waymo AV slowed to yield to landscapers working in the area. The Waymo AV was proceeding slowly past the pedestrians to exit the parking lot when the front driver side tire of the Waymo AV made contact with a landscaping string trimmer that was left unattended in the roadway. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The string trimmer sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 a vulnerable road user influenced the driving task of a vehicle involved. Waymo may supplement or correct its reporting with additional information as it may become available.", ,True,85020,PHOENIX,Single Vehicle,False,False,prior_june16,True,True,False,False,False,False,False,False,True,False,True,False
30270-10046,1,Waymo LLC,Monthly,2.0,2025.0,MAR-2025,SADHW2S11R1, ,,Jaguar,I-PACE, ,2024.0, ,87e063e17697306,53984.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,FEB-2025, ,FEB-2025,20:08, ,00cf76dca3bcbce,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Santa Monica, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25.0, ,Dark - Lighted,Y, , , , , , , ,,Passenger Car,No Injuries Reported,Yes,Proceeding Straight,No,No, , ,Y, , , , , , , , ,Stopped,No,No,No Passengers in Vehicle,0.0, , , , , , , ,Y, , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On February [XXX], 2025 at 8:08 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Santa Monica, California was in a collision involving a passenger car on [XXX]. 
The Waymo AV was traveling northwestbound on [XXX]and came to a stop at the stop sign at the intersection with[XXX]. A passenger car traveling directly behind the Waymo AV proceeded without stopping, and the front driver side of the passenger car then made contact with the rear passenger side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,False,90403,LOS_ANGELES,V2V F2R,False,False,prior_june16,False,True,False,False,False,False,False,False,False,True,False,True
30270-10047,1,Waymo LLC,Monthly,2.0,2025.0,MAR-2025,SADHW2S17R1, ,,Jaguar,I-PACE, ,2024.0, ,f4f776649f9d71e,219.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,FEB-2025, ,FEB-2025,18:43, ,120162186b3f822,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Wet,No Unusual Conditions,25.0, ,Dark - Lighted, , , , ,Y, , , ,,SUV,No Injuries Reported,Yes,Backing,No,No, , , ,Y, , , , , , , ,Stopped,No,No,Yes,0.0, , , , , , ,Y, , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On February[XXX], 2025 at 6:43 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX]. 
The Waymo AV was traveling eastbound on [XXX] and stopped for a queue of traffic for a red light at the intersection at [XXX] when an SUV traveling directly in front of the Waymo AV began to reverse. The rear of the SUV then made contact with the front of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,True,94115,SAN_FRANCISCO,V2V Backing,False,False,prior_june16,False,False,False,False,False,False,False,False,False,False,False,True
30270-10048,1,Waymo LLC,Monthly,2.0,2025.0,MAR-2025,SADHW2S17M1, ,,Jaguar,I-PACE, ,2021.0, ,24b1d71af8bf09c,212345.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),ADOT,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,FEB-2025, ,FEB-2025,22:59, ,32eecff3f616ac8,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Tempe, ,AZ ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,40.0, ,Dark - Lighted,Y, , , , , , , ,,Passenger Car,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , ,Y, , , , , ,Stopped,No,No,Yes,0.0, , , , ,Y, , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On February [XXX], 2025 at 10:59 PM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Tempe, Arizona was in a collision involving a passenger car on [XXX]. 
The Waymo AV was traveling northbound in the center lane of [XXX] and came to a stop for a red light at the intersection with [XXX]. A passenger car traveling northbound in the center lane of [XXX] approached the Waymo AV from behind, and the front of the passenger car then made contact with the rear of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,False,85288,PHOENIX,V2V F2R,False,False,prior_june16,False,True,False,False,False,False,False,False,False,True,False,True
30270-10049,1,Waymo LLC,Monthly,2.0,2025.0,MAR-2025,SADHW2S15R1, ,,Jaguar,I-PACE, ,2024.0, ,00fa24afe50168b,50.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,FEB-2025, ,FEB-2025,13:59, ,783ffed947694fd,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Wet,No Unusual Conditions,25.0, ,Daylight, , , , ,Y, , , ,,Heavy Truck,No Injuries Reported,Yes,Backing,No,No, , , ,Y, , , , , , , ,Stopped,No,No,Yes,0.0, , , , , , ,Y, , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On February [XXX], 2025 at 1:59 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a heavy truck on [XXX]. 
The Waymo AV was traveling southwestbound on [XXX]t in the rightmost lane when it slowed to a stop to yield to a heavy truck that had come to a stop directly in front of the Waymo AV. The heavy truck then reversed, and the rear of the heavy truck made contact with the front of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,False,94103,SAN_FRANCISCO,V2V Backing,False,False,prior_june16,False,True,False,False,False,False,False,False,False,True,False,True
30270-10050,1,Waymo LLC,Monthly,2.0,2025.0,MAR-2025,SADHW2S15R1, ,,Jaguar,I-PACE, ,2024.0, ,94d4295956bd0c0,37060.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,FEB-2025, ,FEB-2025,07:07, ,5da4eca366e56f7,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25.0, ,Daylight, , ,Y, , , , , ,,Passenger Car,No Injuries Reported,Yes,Backing,No,No, , , ,Y, , , , , , , ,Parked,No,No,No Passengers in Vehicle,0.0, , , , , , ,Y, , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On February [XXX], 2025 at 7:07 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX]. 
The Waymo AV was parked at the curb facing south on [XXX] when a passenger car that was attempting to parallel park in front of the Waymo AV reversed, and the rear of the passenger car made contact with the front of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,False,94107,SAN_FRANCISCO,V2V Backing,False,False,prior_june16,False,True,False,False,False,False,False,False,False,True,False,True
