SGO Report ID,SGO Report Version,SGO Amendment,Year Month,Location,Crash Type,Is NHTSA Reportable In-Transport,Is NHTSA Reportable In-Transport Delta-V Less than 1 MPH,Is Police-Reported,Is Any-Injury-Reported,Is Any Vehicle Airbag Deployment,Is Ego Vehicle Airbag Deployment,Is Suspected Serious Injury+,Incident Date,Location Address / Description,Zip Code
30270-11853,1,Amendment 3,202509,SAN_FRANCISCO,V2V Head-on,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9/18/25,Florida Street near 24th Street,94110
30270-11852,1,Amendment 3,202509,SAN_FRANCISCO,V2V Backing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9/23/25,Palou Avenue near Industrial Street,94124
30270-11851,1,Amendment 3,202509,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9/23/25,San Mateo Avenue near Lowrie Avenue,94080
30270-11850,1,Amendment 3,202509,AUSTIN,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9/24/25,Burnet Road at Buell Avenue,78757
30270-11840,1,Amendment 3,202509,AUSTIN,All Others,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9/15/25,Santa Rosa Street near Julian Teran Street,78702
30270-11839,1,Amendment 3,202509,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9/6/25,Divisadero Street at Chestnut Street,94123
30270-11831,1,Amendment 3,202509,PHOENIX,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9/1/25,E. Broadway Road at S. McClintock Drive,85282
30270-11821,1,Amendment 3,202509,LOS_ANGELES,V2V Backing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9/28/25,Beverly Boulevard at W. Temple Street,90004
30270-11806,1,Amendment 3,202509,ATLANTA,Cyclist,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,9/30/25,Griffin Street near Donald Lee Hollowell Parkway NW,30318
30270-11805,1,Amendment 3,202509,AUSTIN,Single Vehicle,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,9/20/25,parking lot located near 2617 Speedway,78712
