report_id,report_version,amendment,year_month,city,crash_type,nhtsa_reportable,low_severity,police_reported,injury_reported,airbag_any,airbag_ego,serious_injury,incident_date,address,zip_code,year,month,month_name,day,day_of_week,day_of_week_num,is_weekend,quarter,year_month_dt,city_clean,severity_score,latitude,longitude
30270-11853,1.0,Amendment 3,202509,SAN_FRANCISCO,V2V Head-on,True,True,False,False,False,False,False,2025-09-18,Florida Street near 24th Street,94110,2025.0,9.0,September,18.0,Thursday,3.0,False,3.0,2025-09,San Francisco,0,37.744889922566955,-122.41395997256646
30270-11852,1.0,Amendment 3,202509,SAN_FRANCISCO,V2V Backing,True,False,False,False,False,False,False,2025-09-23,Palou Avenue near Industrial Street,94124,2025.0,9.0,September,23.0,Tuesday,1.0,False,3.0,2025-09,San Francisco,0,37.73442744938435,-122.38446532371572
30270-11851,1.0,Amendment 3,202509,SAN_FRANCISCO,V2V F2R,True,False,False,False,False,False,False,2025-09-23,San Mateo Avenue near Lowrie Avenue,94080,2025.0,9.0,September,23.0,Tuesday,1.0,False,3.0,2025-09,San Francisco,0,37.652729143988566,-122.42235004334161
30270-11850,1.0,Amendment 3,202509,AUSTIN,V2V F2R,True,False,False,False,False,False,False,2025-09-24,Burnet Road at Buell Avenue,78757,2025.0,9.0,September,24.0,Wednesday,2.0,False,3.0,2025-09,Austin,0,30.354137910911312,-97.73393089406675
30270-11840,1.0,Amendment 3,202509,AUSTIN,All Others,True,True,False,False,False,False,False,2025-09-15,Santa Rosa Street near Julian Teran Street,78702,2025.0,9.0,September,15.0,Monday,0.0,False,3.0,2025-09,Austin,0,30.259315766812087,-97.71700665853314
30270-11839,1.0,Amendment 3,202509,SAN_FRANCISCO,V2V F2R,True,False,False,False,False,False,False,2025-09-06,Divisadero Street at Chestnut Street,94123,2025.0,9.0,September,6.0,Saturday,5.0,True,3.0,2025-09,San Francisco,0,37.79687394828478,-122.43764628120228
30270-11831,1.0,Amendment 3,202509,PHOENIX,V2V F2R,True,False,False,False,False,False,False,2025-09-01,E. Broadway Road at S. McClintock Drive,85282,2025.0,9.0,September,1.0,Monday,0.0,False,3.0,2025-09,Phoenix,0,33.387524071321764,-111.94238296586424
30270-11821,1.0,Amendment 3,202509,LOS_ANGELES,V2V Backing,True,False,False,False,False,False,False,2025-09-28,Beverly Boulevard at W. Temple Street,90004,2025.0,9.0,September,28.0,Sunday,6.0,True,3.0,2025-09,Los Angeles,0,34.07664486225677,-118.30606822747505
30270-11806,1.0,Amendment 3,202509,ATLANTA,Cyclist,True,False,True,True,False,False,False,2025-09-30,Griffin Street near Donald Lee Hollowell Parkway NW,30318,2025.0,9.0,September,30.0,Tuesday,1.0,False,3.0,2025-09,Atlanta,3,33.787516167391566,-84.44110099271283
30270-11805,1.0,Amendment 3,202509,AUSTIN,Single Vehicle,True,True,True,False,False,False,False,2025-09-20,parking lot located near 2617 Speedway,78712,2025.0,9.0,September,20.0,Saturday,5.0,True,3.0,2025-09,Austin,1,30.28872839534083,-97.73549695272104
30270-11802,1.0,Amendment 3,202509,PHOENIX,All Others,True,True,False,False,False,False,False,2025-09-26,N. 14th Street at E. Desert Park Lane,85020,2025.0,9.0,September,26.0,Friday,4.0,False,3.0,2025-09,Phoenix,0,33.561563200321146,-112.0481530413177
30270-11795,1.0,Amendment 3,202509,SAN_FRANCISCO,V2V Lateral,True,False,False,False,False,False,False,2025-09-26,Mission Street at E. Market Street,94014,2025.0,9.0,September,26.0,Friday,4.0,False,3.0,2025-09,San Francisco,0,37.69017650730404,-122.47397733832035
30270-11794,1.0,Amendment 3,202509,ATLANTA,Secondary Crash,True,False,True,True,True,False,False,2025-09-27,Courtland Street NE at Andrew Young International Boulevard NE,30303,2025.0,9.0,September,27.0,Saturday,5.0,True,3.0,2025-09,Atlanta,5,33.75335929842273,-84.39148005405248
30270-11792,1.0,Amendment 3,202509,ATLANTA,V2V Backing,True,False,True,False,False,False,False,2025-09-26,Ivan Allen Jr. Boulevard NW at Magnum Street NW,30318,2025.0,9.0,September,26.0,Friday,4.0,False,3.0,2025-09,Atlanta,1,33.78767361707884,-84.43664881232705
30270-11791,1.0,Amendment 3,202509,LOS_ANGELES,Secondary Crash,True,False,True,False,True,False,False,2025-09-27,Franklin Avenue at Highland Avenue,90028,2025.0,9.0,September,27.0,Saturday,5.0,True,3.0,2025-09,Los Angeles,3,34.09647736121401,-118.32642568863176
30270-11790,1.0,Amendment 3,202509,SAN_FRANCISCO,V2V F2R,True,False,True,False,False,False,False,2025-09-25,Loomis Street near Oakdale Avenue,94124,2025.0,9.0,September,25.0,Thursday,3.0,False,3.0,2025-09,San Francisco,1,37.73247253521698,-122.38688322895277
30270-11789,1.0,Amendment 3,202509,LOS_ANGELES,V2V Head-on,True,False,True,True,False,False,False,2025-09-25,S. Burlington Avenue at Wilshire Boulevard,90017,2025.0,9.0,September,25.0,Thursday,3.0,False,3.0,2025-09,Los Angeles,3,34.05853822097319,-118.26859388865964
30270-11771,1.0,Amendment 3,202509,SAN_FRANCISCO,V2V Lateral,True,False,False,False,False,False,False,2025-09-25,3rd Street near Stevenson Street,94103,2025.0,9.0,September,25.0,Thursday,3.0,False,3.0,2025-09,San Francisco,0,37.77669262419343,-122.40889876766703
30270-11769,1.0,Amendment 3,202509,LOS_ANGELES,V2V Backing,True,False,False,False,False,False,False,2025-09-01,Dicks Street near Hammond Street,90069,2025.0,9.0,September,1.0,Monday,0.0,False,3.0,2025-09,Los Angeles,0,34.08830708871934,-118.37809333604552
30270-11768,1.0,Amendment 3,202509,LOS_ANGELES,V2V F2R,True,False,False,False,False,False,False,2025-09-24,4th Street at Hollister Avenue,90405,2025.0,9.0,September,24.0,Wednesday,2.0,False,3.0,2025-09,Los Angeles,0,34.0092234432125,-118.48082432369297
30270-11766,1.0,Amendment 3,202509,AUSTIN,Single Vehicle,True,False,False,False,False,False,False,2025-09-24,parking lot entrance of 2952 Barton Skyway,78746,2025.0,9.0,September,24.0,Wednesday,2.0,False,3.0,2025-09,Austin,0,30.288374964023593,-97.79732550045568
30270-11765,1.0,Amendment 3,202509,SAN_FRANCISCO,V2V F2R,True,False,False,False,False,False,False,2025-08-31,Jefferson Street at Mason Street,94111,2025.0,8.0,August,31.0,Sunday,6.0,True,3.0,2025-08,San Francisco,0,37.80119482561661,-122.39537770610188
30270-11763,1.0,Amendment 3,202509,SAN_FRANCISCO,V2V Lateral,True,False,False,False,False,False,False,2025-09-20,Market Street at Valencia Street,94103,2025.0,9.0,September,20.0,Saturday,5.0,True,3.0,2025-09,San Francisco,0,37.76798623180624,-122.40962513670264
30270-11762,1.0,Amendment 3,202509,LOS_ANGELES,V2V Lateral,True,False,True,False,False,False,False,2025-09-21,La Brea Avenue at S. Market Street,90301,2025.0,9.0,September,21.0,Sunday,6.0,True,3.0,2025-09,Los Angeles,1,33.949766785287,-118.35431190794115
30270-11761,1.0,Amendment 3,202509,SAN_FRANCISCO,V2V Lateral,True,True,False,False,False,False,False,2025-09-17,Bush Street near Grant Avenue,94108,2025.0,9.0,September,17.0,Wednesday,2.0,False,3.0,2025-09,San Francisco,0,37.79430453202905,-122.40875270151092
30270-11760,1.0,Amendment 3,202509,LOS_ANGELES,V2V Lateral,True,False,True,False,False,False,False,2025-09-21,W. 8th Street near S. Western Avenue,90005,2025.0,9.0,September,21.0,Sunday,6.0,True,3.0,2025-09,Los Angeles,1,34.062612543570744,-118.30745799602923
30270-11759,1.0,Amendment 3,202509,AUSTIN,V2V Lateral,True,False,False,False,False,False,False,2025-09-15,San Antonio Street near W. Cesar Chavez Street,78701,2025.0,9.0,September,15.0,Monday,0.0,False,3.0,2025-09,Austin,0,30.274863393658983,-97.74595685917701
30270-11758,1.0,Amendment 3,202509,SAN_FRANCISCO,V2V F2R,True,False,False,False,False,False,False,2025-09-19,Brannan Street near 4th Street,94107,2025.0,9.0,September,19.0,Friday,4.0,False,3.0,2025-09,San Francisco,0,37.76253343402732,-122.39749625716111
30270-11756,1.0,Amendment 3,202509,SAN_FRANCISCO,V2V Lateral,True,True,False,False,False,False,False,2025-09-20,Hayes Street at Steiner Street,94117,2025.0,9.0,September,20.0,Saturday,5.0,True,3.0,2025-09,San Francisco,0,37.76592599545105,-122.44249926870997
